freq,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,THS_PER,NL	327.7 	310.5 b	302.1 b	300.4 	314.0 	316.2 	326.1 	377.7 be	377.4 	387.3 b	394.4 	414.4 	427.3 	433.9 	468.9 	504.6 	527.1 	620.6 b	685.0 	673.7 	684.4 	708.8 
A,THS_PER,NO	: 	: 	: 	: 	: 	: 	: 	110.3 b	113.6 	117.9 	118.8 e	117.9 e	111.3 e	121.3 	122.0 	126.0 	136.3 e	148.6 be	146.4 	153.8 	159.1 e	171.1 
A,THS_PER,PL	342.2 be	368.5 be	409.6 e	449.3 e	473.1 e	499.4 e	470.2 be	354.5 b	393.2 	403.4 	413.1 	424.4 e	432.5 e	452.0 	486.3 	547.0 b	593.9 	625.5 b	644.6 	744.1 	770.6 	778.8 
A,THS_PER,PT	113.9 e	120.9 be	131.2 e	137.5 e	130.4 e	138.4 e	140.4 e	90.2 be	94.2 e	104.1 e	137.7 e	131.3 e	137.7 e	134.1 e	149.8 e	174.6 e	187.6 e	216.6 b	220.0 	229.7 	262.1 	283.9 
A,THS_PER,RO	: 	123.1 be	184.6 e	197.7 e	198.7 e	190.7 e	161.3 be	124.9 be	139.3 e	136.7 e	139.9 	160.8 	167.7 	185.4 	190.1 	197.2 e	202.7 	203.0 b	215.0 e	196.2 	221.6 e	207.8 e
A,THS_PER,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.8 e	50.1 b	56.8 e	61.8 e	64.0 	68.1 	74.4 e	79.1 e	96.0 b	99.8 	120.5 	122.7 	120.6 e
A,THS_PER,SE	244.9 e	267.5 be	269.1 e	278.8 e	290.8 e	287.0 e	288.6 e	258.3 b	270.0 	267.2 	276.9 	293.8 	310.8 	332.8 	346.6 b	359.8 	379.7 e	405.5 b	447.7 	457.9 e	450.7 	470.9 
A,THS_PER,SI	29.7 e	33.9 be	35.1 e	33.4 e	36.5 e	36.7 e	36.0 e	33.1 b	30.7 	30.4 	32.1 	33.0 e	32.1 	36.1 	39.0 e	38.5 e	42.5 e	46.5 b	44.7 	37.2 	42.9 e	45.2 
A,THS_PER,SK	60.6 e	69.7 be	81.3 e	86.5 e	86.1 e	83.3 e	85.1 e	62.3 b	58.4 	59.4 	65.3 	68.1 	73.2 	70.5 	82.1 e	95.6 	105.8 	110.5 b	111.5 	110.7 	121.3 	113.5 e
A,THS_PER,TR	: 	: 	: 	: 	: 	: 	: 	238.6 be	282.9 be	286.4 e	299.5 be	318.5 e	323.4 e	349.5 e	359.9 e	360.5 e	371.9 e	405.5 b	473.9 	481.6 	492.6 	522.3 
A,THS_PER,UK	: 	: 	: 	: 	: 	: 	: 	1391.9 be	1460.6 e	1476.7 e	1516.8 e	1623.6 e	1674.0 e	1657.3 e	1737.2 e	1807.0 e	: 	: 	: 	: 	: 	: 
